_id,INSEGNA,CLASSIFICAZIONE,INDIRIZZO,MUNICIPIO,TIPOLOGIA ESERCIZIO,SINGOLE,DOPPIE,TRIPLE,QUADRUPLE,QUINTUPLE,TOTALE CAMERE,POSTI LETTO
4611,L'APPARTAMENTO DI VILLA BONELLI,4,"VIA DOMENICO LUPATELLI, 56",Municipio XI (ex Mun XV),Case Vacanza non IMPR,,1,,,,"",2
4612,L'ARCA DI CAMPALDINO,3,"VIA CAMPALDINO, 18",Municipio II (ex Mun III),Case Vacanza non IMPR,,2,,,,"",4
4613,L'ARCOBALENO,3,"VIA CRESCENZIO, 43",Municipio I (ex Mun XVII),Case Vacanza non IMPR,,2,,,,"",4
4614,LARGE APARTMENT ST. PETER,3,"PIAZZA DEL RISORGIMENTO, 36",Municipio I (ex Mun XVII),Case Vacanza non IMPR,,1,2,,,"",8
4615,LASSEN ANDREINA,4,"VIA BONIFACIO VIII, 22",Municipio XIII (ex Mun XVIII),Case Vacanza non IMPR,1,1,,,,"",3
4616,LATERAN CHARMING HOUSE,4,"VIA CERVETERI, 21",Municipio VII (ex Mun IX),Case Vacanza non IMPR,1,1,1,,,"",6
4617,LATERANUM,3,"VIA MATTEO BOIARDO, 12",Municipio I (ex Mun I),Case Vacanza non IMPR,1,2,,,,"",5
4618,LATIN HOUSE,4,"VIA DEI LATINI, 18",Municipio II (ex Mun III),Case Vacanza non IMPR,1,,1,,,"",4
4619,L'ATTICHETTO DI TRILUSSA,4,"VICOLO DEL BOLOGNA, 59",Municipio I (ex Mun I),Case Vacanza non IMPR,1,,,,,"",1
4620,L'ATTICO A CASAL PALLOCCO,3,"VIALE GORGIA DI LEONTINI, 3",Municipio X (ex Mun XIII),Case Vacanza non IMPR,,1,,,,"",2
4621,LAURA BACILE - sospensione temporanea,4,"PIAZZA QUINTO CURZIO, 5",Municipio I (ex Mun I),Case Vacanza non IMPR,,,1,,,"",3
4622,LAURA'S B4 -THREE ROOM APARTMENT,4,"VIA TAURASIA, 9",Municipio VII (ex Mun IX),Case Vacanza non IMPR,1,2,,,,"",5
4623,LAURA'S HOME TRASTEVERE,2,"VIA PORTUENSE, 119",Municipio XII (ex Mun XVI),Case Vacanza non IMPR,,1,,,,"",2
4624,LAURINA DELUXE,4,"VIA LAURINA, 33",Municipio I (ex Mun I),Case Vacanza non IMPR,,1,,,,"",2
4625,L'AURORA AL COLOSSEO,3,"VIA DEI SS. QUATTRO, 45",Municipio I (ex Mun I),Case Vacanza non IMPR,,2,,,,"",4
4626,LAZY DAY,4,"VIA BIXIO, 52",Municipio I (ex Mun I),Case Vacanza non IMPR,1,2,,,,"",3
4627,LE ANTICHE FORNACI,4,"VIA DELLE FORNACI, 103",Municipio XIII (ex Mun XVIII),Case Vacanza non IMPR,1,2,,,,5,7
4628,LE BIMBE,2,"VIA VALLE CORTENO, 7",Municipio III (ex Mun IV),Case Vacanza non IMPR,,2,,,,"",4
4629,LE BON BON,2,"VIA ANNIA FAUSTINA, 14A",Municipio I (ex Mun I),Case Vacanza non IMPR,1,,,,,"",1
4630,LE CASE DEI NONNI MARIA E UBALDO,3,"VIA EUGENIO GRA, 6",Municipio XII (ex Mun XVI),Case Vacanza non IMPR,,1,,,,"",2
4631,LE CHIAVI DI SAN PIETRO,2,"VIA SERGIO I, 32",Municipio XIII (ex Mun XVIII),Case Vacanza non IMPR,,1,,,,"",2
4632,LE CHIAVI DI SAN PIETRO,3,"VIA SANTAMAURA, 46",Municipio I (ex Mun XVII),Case Vacanza non IMPR,1,,,,,"",1
4633,LE CHIAVI DI SAN PIETRO,4,"VIA S. TELESFORO, 13",Municipio XIII (ex Mun XVIII),Case Vacanza non IMPR,,1,,,,"",2
4634,LE CUPOLINE,3,"VIA CATONE, 3",Municipio I (ex Mun I),Case Vacanza non IMPR,1,2,,,,"",5
