_id,INSEGNA,CLASSIFICAZIONE,INDIRIZZO,MUNICIPIO,TIPOLOGIA ESERCIZIO,SINGOLE,DOPPIE,TRIPLE,QUADRUPLE,QUINTUPLE,TOTALE CAMERE,POSTI LETTO
5785,ALTRACITTA' B&B,Categoria unica,"VIA FERDINANDO ACTON, 21",Municipio X (ex Mun XIII),BED & BREAKFAST,,,,,,2,3
5786,AMAZONIA,Categoria unica,"VIA GIUSEPPE SPADA, 13",Municipio VII (ex Mun IX),BED & BREAKFAST,,,,,,2,6
5787,AMENDOLA HOUSE B&B,Categoria unica,"VIA CAMILLO MARIANI, 13",Municipio XIV (ex Mun XIX),BED & BREAKFAST,,,,,,3,6
5788,AMICI DEL B&B,Categoria unica,"VIA LEOPOLDO TRAVERSI, 24",Municipio VIII (ex Mun XI),BED & BREAKFAST,,,,,,2,4
5789,AMICO BED&BREAKFAST,Categoria unica,"VIA VESPASIANO, 9",Municipio I (ex Mun XVII),BED & BREAKFAST,,,,,,2,4
5790,AMORE E PSICHE,Categoria unica,"VIA VITTORIO ROSSI, 39",Municipio VI (ex Mun VIII),BED & BREAKFAST,,,,,,1,2
5791,AMOROMA ON LINE B&B,Categoria unica,"VIA RATTAZZI, 2/F",Municipio I (ex Mun I),BED & BREAKFAST,,,,,,2,5
5792,ANASTASIO II BED AND BREAKFAST,Categoria unica,"VIA ANASTASIO II, 7",Municipio XIII (ex Mun XVIII),BED & BREAKFAST,,,,,,3,6
5793,ANCIENT ROMANS B&B,Categoria unica,"VIA OTTAVIANO, 9",Municipio I (ex Mun XVII),BED & BREAKFAST,,,,,,3,5
5794,ANDREA B&B,Categoria unica,"VIA LUIGI ZUPPETTA, 11",Municipio VII (ex Mun X),BED & BREAKFAST,,,,,,2,5
5795,ANDREA DORIA RESORT,Categoria unica,"VIA PIETRO GIANNONE, 10",Municipio I (ex Mun XVII),BED & BREAKFAST,,,,,,3,6
5796,ANDREA'S ROME,Categoria unica,"VIA SARNANO, 36",Municipio IV (ex Mun V),BED & BREAKFAST,,,,,,3,5
5797,ANDREWS B&B,Categoria unica,"VIA PALESTRO, 44",Municipio I (ex Mun I),BED & BREAKFAST,,,,,,1,2
5798,ANGELI IN ROMA,Categoria unica,"VIA DI VILLA PEPOLI, 20",Municipio I (ex Mun I),BED & BREAKFAST,,,,,,3,6
5799,ANGELICA HOME,Categoria unica,"VIA DEGLI SCIPIONI, 103",Municipio I (ex Mun XVII),BED & BREAKFAST,,,,,,3,6
5800,ANGELICO HOLIDAYS,Categoria unica,"VIA FILIPPO CORRIDONI, 27",Municipio I (ex Mun XVII),BED & BREAKFAST,,,,,,2,2
5801,ANGOLO ROMANO,Categoria unica,"VIA LUIGI RIZZO, 47",Municipio I (ex Mun XVII),BED & BREAKFAST,,,,,,3,6
5802,ANI' B&B,Categoria unica,"VIA EMANUELE FILIBERTO, 166",Municipio I (ex Mun I),BED & BREAKFAST,,,,,,3,6
5803,ANITA ARTE ROMA,Categoria unica,"VIA VARESE, 5",Municipio I (ex Mun I),BED & BREAKFAST,,,,,,1,3
5804,ANITA HOUSE,Categoria unica,"VIA ORAZIO, 12",Municipio I (ex Mun XVII),BED & BREAKFAST,,,,,,2,5
5805,ANNA E LUCIA,Categoria unica,"VIA CIMONE, 113",Municipio III (ex Mun IV),BED & BREAKFAST,,,,,,3,4
5806,ANNA GIULIA,Categoria unica,"VIALE GIULIO CESARE, 113/A",Municipio I (ex Mun XVII),BED & BREAKFAST,,,,,,2,4
5807,ANNA LAURA B&B,Categoria unica,"VIA ANGELO FAVA, 23",Municipio XIV (ex Mun XIX),BED & BREAKFAST,,,,,,3,5
5808,ANNA MARIA HOUSE B&B,Categoria unica,"VIA DAMASO CERQUETTI, 67",Municipio XII (ex Mun XVI),BED & BREAKFAST,,,,,,1,2
5809,ANNA PERENNA B&B,Categoria unica,"VIA ETRURIA, 44",Municipio VII (ex Mun IX),BED & BREAKFAST,,,,,,2,4
5810,ANNE,Categoria unica,"VIA CAVOUR, 325",Municipio I (ex Mun I),BED & BREAKFAST,,,,,,3,6
5811,ANNETTE,Categoria unica,"VIA CRESCENZIO, 19",Municipio I (ex Mun XVII),BED & BREAKFAST,,,,,,3,6
5812,ANNI 50 B&B,Categoria unica,"VIA FOGLIANO, 37",Municipio II (ex Mun II),BED & BREAKFAST,,,,,,3,6
5813,ANNO DOMINI B&B,Categoria unica,"VIA ANASTASIO II, 5",Municipio XIII (ex Mun XVIII),BED & BREAKFAST,,,,,,3,6
5814,ANTHONY B&B,Categoria unica,"VIA PALESTRO, 30",Municipio I (ex Mun I),BED & BREAKFAST,,,,,,3,6
5815,ANTICA ARIA DI ROMA,Categoria unica,"VIA OTTORINO LAZZARINI, 19",Municipio I (ex Mun XVII),BED & BREAKFAST,,,,,,3,6
5816,ANTIQUAROMA,Categoria unica,"VIA MARIANNA DIONIGI, 17",Municipio I (ex Mun XVII),BED & BREAKFAST,,,,,,3,6
5817,ANTONIETTA'S HOUSE B&B,Categoria unica,"VIA RATTAZZI, 65",Municipio I (ex Mun I),BED & BREAKFAST,,,,,,3,5
5818,APPASSIONATA,Categoria unica,"VIA ETTORE ROLLI, 32",Municipio XII (ex Mun XVI),BED & BREAKFAST,,,,,,2,4
5819,APPIA NUOVA HOLIDAY B&B,Categoria unica,"VIA APPIA NUOVA, 421",Municipio VII (ex Mun IX),BED & BREAKFAST,,,,,,1,2
5820,APPIO CLAUDIO,Categoria unica,"VIALE ANICIO GALLO, 198",Municipio VII (ex Mun X),BED & BREAKFAST,,,,,,2,4
5821,APPIO RE DI ROMA,Categoria unica,"VIA SAN REMO, 1",Municipio VII (ex Mun IX),BED & BREAKFAST,,,,,,1,1
5822,APPIO-EURIALO 23 B&B,Categoria unica,"VIA EURIALO, 23",Municipio VII (ex Mun IX),BED & BREAKFAST,,,,,,2,4
5823,AQUARIUS,Categoria unica,"VIA GABRIO CASATI, 43",Municipio II (ex Mun III),BED & BREAKFAST,,,,,,1,2
5824,AQUARIUS- INN,Categoria unica,"VIA CASTELFIDARDO, 34",Municipio I (ex Mun I),BED & BREAKFAST,,,,,,2,4
5825,ARA COELI,Categoria unica,"VIA DELLE CAVE, 65",Municipio VII (ex Mun IX),BED & BREAKFAST,,,,,,3,5
5826,ARA PACIS AUGUSTAE,Categoria unica,"LUNGOTEVERE DEI MELLINI, 35",Municipio I (ex Mun XVII),BED & BREAKFAST,,,,,,3,4
5827,ARCHES B&B,Categoria unica,"VIA GIOVANNI BETTOLO, 6",Municipio I (ex Mun XVII),BED & BREAKFAST,,,,,,2,6
5828,ARCHES INN,Categoria unica,"PIAZZA FRANCESCO MOROSINI, 12",Municipio I (ex Mun XVII),BED & BREAKFAST,,,,,,2,5
5829,ARCO DEL LAURO B&B,Categoria unica,"VIA DELL'ARCO DE' TOLOMEI, 27",Municipio I (ex Mun I),BED & BREAKFAST,,,,,,2,4
5830,ARCO DI YURA,Categoria unica,"VIA DELL'ARCO DE' TOLOMEI, 29",Municipio I (ex Mun I),BED & BREAKFAST,,,,,,1,3
5831,ARCO SEGRETO,Categoria unica,"VIA FAMAGOSTA, 4",Municipio I (ex Mun XVII),BED & BREAKFAST,,,,,,2,3
5832,ARCOBALENO VATICANO,Categoria unica,"VIA SANTAMAURA, 49",Municipio I (ex Mun XVII),BED & BREAKFAST,,,,,,2,4
5833,AREA SACRA RELAIS,Categoria unica,"VIA DI S. NICOLA DE CESARINI, 10",Municipio I (ex Mun I),BED & BREAKFAST,,,,,,2,3
5834,ARISTOCARLI,Categoria unica,"VIA MARIA LORENZA LONGO, 24",Municipio XII (ex Mun XVI),BED & BREAKFAST,,,,,,2,4
5835,ARKE',Categoria unica,"VIA DI PORTA FABBRICA, 49",Municipio XIII (ex Mun XVIII),BED & BREAKFAST,,,,,,2,4
5836,ARMANDO'S BELVEDERE,Categoria unica,"VIA DEI SARDI, 47",Municipio II (ex Mun III),BED & BREAKFAST,,,,,,2,4
5837,ARMONIA ALL'OPERA B&B,Categoria unica,"VIA DEL VIMINALE, 38",Municipio I (ex Mun I),BED & BREAKFAST,,,,,,3,6
5838,ARMONIA B&B,Categoria unica,"VIA BERENGARIO, 11/A",Municipio II (ex Mun III),BED & BREAKFAST,,,,,,3,6
5839,AROMA,Categoria unica,"VIA PALESTRO, 49",Municipio I (ex Mun I),BED & BREAKFAST,,,,,,2,5
5840,AROMA DI ROMA,Categoria unica,"VIA DI BRAVETTA, 636",Municipio XII (ex Mun XVI),BED & BREAKFAST,,,,,,1,3
5841,AROUND THE WORLD B&B,Categoria unica,"VIA LUIGI BIONDI, 15",Municipio X (ex Mun XIII),BED & BREAKFAST,,,,,,1,2
5842,ART DOMUS REALE,Categoria unica,"VIA SICILIA, 153",Municipio I (ex Mun I),BED & BREAKFAST,,,,,,2,4
5843,ART LA MIMOSA,Categoria unica,"VIA BITINIA, 5",Municipio VII (ex Mun IX),BED & BREAKFAST,,,,,,3,6
5844,ARTE E BISCOTTI,Categoria unica,"VIA MICHELE PIRONTI, 26",Municipio XIII (ex Mun XVIII),BED & BREAKFAST,,,,,,2,4
5845,ARTEALTEA,Categoria unica,"VIALE DELLE MILIZIE, 76",Municipio I (ex Mun XVII),BED & BREAKFAST,,,,,,3,5
5846,ARTEMISIA B&B,Categoria unica,"VIALE JONIO, 203",Municipio III (ex Mun IV),BED & BREAKFAST,,,,,,2,3
5847,ARTEMISIA 7,Categoria unica,"VIA CAIO MARIO, 7",Municipio I (ex Mun XVII),BED & BREAKFAST,,,,,,2,5
5848,ARTEROMA_TIBURTINA,Categoria unica,"VIA EUGENIO TORELLI VIOLLIER, 129",Municipio IV (ex Mun V),BED & BREAKFAST,,,,,,2,4
5849,ARTIFUSE B&B,Categoria unica,"VIALE LUIGI MORETTI, 123",Municipio XII (ex Mun XVI),BED & BREAKFAST,,,,,,1,2
5850,ART&INDUSTRY,Categoria unica,"VIA SALUZZO, 29",Municipio VII (ex Mun IX),BED & BREAKFAST,,,,,,2,4
5851,ARTOM VILLE,Categoria unica,"VIA VENTI SETTEMBRE, 3",Municipio I (ex Mun I),BED & BREAKFAST,,,,,,1,2
5852,ASTRA B&B,Categoria unica,"VIA VIRGINIA, 25",Municipio VII (ex Mun IX),BED & BREAKFAST,,,,,,3,6
5853,AT HOME,Categoria unica,"VIALE DEGLI AMMIRAGLI, 67",Municipio I (ex Mun XVII),BED & BREAKFAST,,,,,,3,6
5854,AT ST. PETER'S QUIRITI,Categoria unica,"VIA DEI GRACCHI, 130",Municipio I (ex Mun XVII),BED & BREAKFAST,,,,,,2,4
5855,AT VATICAN ACCOMADATION B&B,Categoria unica,"VIA GREGORIO VII, 407",Municipio XIII (ex Mun XVIII),BED & BREAKFAST,,,,,,2,4
5856,AT YOUR PLACE B&B,Categoria unica,"VIA DI PORTA CASTELLO, 33",Municipio I (ex Mun XVII),BED & BREAKFAST,,,,,,3,6
5857,ATELIER SAN PIETRO B&B,Categoria unica,"VIA CARDINALE LUALDI, 6",Municipio XIII (ex Mun XVIII),BED & BREAKFAST,,,,,,2,4
5858,ATHOS B&B,Categoria unica,"VIA MILAZZO, 23",Municipio I (ex Mun I),BED & BREAKFAST,,,,,,3,6
5859,ATROMEBANDB,Categoria unica,"VIALE GIULIO CESARE, 237",Municipio I (ex Mun XVII),BED & BREAKFAST,,,,,,2,5
5860,ATTICO IL VASCELLO,Categoria unica,"VIALE DELLE REPUBBLICHE MARINARE, 28",Municipio X (ex Mun XIII),BED & BREAKFAST,,,,,,2,3
5861,ATTICO MONTEVERDE,Categoria unica,"VIA DI MONTE VERDE, 170",Municipio XII (ex Mun XVI),BED & BREAKFAST,,,,,,1,2
5862,AUDITORIUM B&B,Categoria unica,"VIA OLANDA, 12",Municipio II (ex Mun II),BED & BREAKFAST,,,,,,2,4
5863,AUDITORIUM VILLAGE B&B,Categoria unica,"VIA DEGLI OLIMPIONICI, 83",Municipio II (ex Mun II),BED & BREAKFAST,,,,,,3,6
5864,AUGE B&B,Categoria unica,"VIA DI VERMICINO, 26",Municipio VI (ex Mun VIII),BED & BREAKFAST,,,,,,3,6
5865,AURELIA ANTICA,Categoria unica,"VIA CARDINAL PACCA, 19",Municipio XIII (ex Mun XVIII),BED & BREAKFAST,,,,,,1,3
5866,AURELIA GARDEN GOLD,Categoria unica,"VIA DEIVA MARINA, 30",Municipio XII (ex Mun XVI),BED & BREAKFAST,,,,,,2,4
5867,AURELIA STATION,Categoria unica,"VIA NICOLA GARRONE, 81",Municipio XII (ex Mun XVI),BED & BREAKFAST,,,,,,2,5
5868,AURELIO AQUILONE,Categoria unica,"VIA BONAVENTURA CERRETTI, 31",Municipio XIII (ex Mun XVIII),BED & BREAKFAST,,,,,,3,4
5869,AURORA GREEN,Categoria unica,"VIA APPIA NUOVA, 288",Municipio VII (ex Mun IX),BED & BREAKFAST,,,,,,2,4
5870,AVE CESARE,Categoria unica,"VIA OTRANTO, 39",Municipio I (ex Mun XVII),BED & BREAKFAST,,,,,,2,4
5871,AVEC MOI ROMA,Categoria unica,"VIALE LIBIA, 8",Municipio II (ex Mun II),BED & BREAKFAST,,,,,,3,6
5872,AVVENTURE ROMANE B&B,Categoria unica,"VIALE SPARTACO, 30",Municipio VII (ex Mun X),BED & BREAKFAST,,,,,,2,3
5873,AWAKENING,Categoria unica,"VIA SICILIA, 153",Municipio I (ex Mun I),BED & BREAKFAST,,,,,,2,4
5874,A.WILLIAM FLAT,Categoria unica,"VIA CALATAFIMI, 41",Municipio I (ex Mun I),BED & BREAKFAST,,,,,,1,2
5875,B e B CASTEL PORZIANO,Categoria unica,"VIA ANTERIVO, 11",Municipio X (ex Mun XIII),BED & BREAKFAST,,,,,,1,3
5876,B E B di ZHANG,Categoria unica,"VIA CAIROLI, 115",Municipio I (ex Mun I),BED & BREAKFAST,,,,,,2,4
5877,B E B LA TORRETTA,Categoria unica,"VIA GIUSEPPE GENE', 181",Municipio IX (ex Mun XII),BED & BREAKFAST,,,,,,3,6
5878,B e B TOMA,Categoria unica,"VIA APPIA NUOVA, 478",Municipio VII (ex Mun IX),BED & BREAKFAST,,,,,,2,6
5879,BABBO,Categoria unica,"VIA CASTELFIDARDO, 34",Municipio I (ex Mun I),BED & BREAKFAST,,,,,,3,6
5880,BABRI SIMIM TAJ,Categoria unica,"VIA GEROLAMO CARDANO, 122",Municipio XI (ex Mun XV),BED & BREAKFAST,,,,,,2,4
5881,BACIO DELLE STELLE B&B,Categoria unica,"VIA ALESSANDRIA, 160",Municipio II (ex Mun II),BED & BREAKFAST,,,,,,3,5
5882,BA.HOME,Categoria unica,"VIA DI S. CROCE IN GERUSALEMME, 75",Municipio I (ex Mun I),BED & BREAKFAST,,,,,,3,5
5883,BALANCE NICELY,Categoria unica,"VIA NAPOLEONE III, 23",Municipio I (ex Mun I),BED & BREAKFAST,,,,,,2,3
5884,BALDASSINI B&B,Categoria unica,"VIA DELLE COPPELLE, 37",Municipio I (ex Mun I),BED & BREAKFAST,,,,,,2,4
5885,BALDO 50,Categoria unica,"VIA BALDO DEGLI UBALDI, 50",Municipio XIII (ex Mun XVIII),BED & BREAKFAST,,,,,,2,4
5886,BARRACCOCINQUE,Categoria unica,"VIA GIOVANNI BARRACCO, 5",Municipio II (ex Mun III),BED & BREAKFAST,,,,,,1,2
5887,BB - ETERNAL ROME INN,Categoria unica,"VIA GERMANICO, 85",Municipio I (ex Mun XVII),BED & BREAKFAST,,,,,,3,6
5888,B&B - G&G,Categoria unica,"VIA CAIO MARIO, 14/a",Municipio I (ex Mun XVII),BED & BREAKFAST,,,,,,1,3
5889,B&B A CASA DI AMICI,Categoria unica,"VIA GIUSEPPE GAGLIARDI, 31",Municipio VI (ex Mun VIII),BED & BREAKFAST,,,,,,2,4
5890,B&B A CASA DI EMI,Categoria unica,"VIA ANGELO ZOTTOLI, 37",Municipio X (ex Mun XIII),BED & BREAKFAST,,,,,,2,4
5891,B&B A CASA DI LIA,Categoria unica,"LUNGOTEVERE FLAMINIO, 48-PAL 3",Municipio II (ex Mun II),BED & BREAKFAST,,,,,,1,1
5892,B&B A CASA DI MARZIA,Categoria unica,"PIAZZALE GREGORIO VII, 31",Municipio XIII (ex Mun XVIII),BED & BREAKFAST,,,,,,1,1
5893,B&B AGLI HORTI SALLUSTIANI,Categoria unica,"VIA QUINTINO SELLA, 3",Municipio I (ex Mun I),BED & BREAKFAST,,,,,,3,6
5894,B&B AL CENTRO DI ROMA,Categoria unica,"PIAZZA DI S. ANDREA DELLA VALLE, 3",Municipio I (ex Mun I),BED & BREAKFAST,,,,,,3,6
5895,B&B ALCHIMIA,Categoria unica,"VIA FRANCESCO GIANGIACOMO, 2",Municipio VIII (ex Mun XI),BED & BREAKFAST,,,,,,2,4
5896,B&B ALE E LISA COUNTRY HOUSE DI CASELLA C. E MONETTI R.,Categoria unica,"VIA GIUSEPPE VITALI, 91",Municipio XI (ex Mun XV),BED & BREAKFAST,,,,,,2,3
5897,B&B ALFEO,Categoria unica,"VIA OSTIENSE, 152",Municipio VIII (ex Mun XI),BED & BREAKFAST,,,,,,3,6
5898,B&B ALL'OMBRA DEL VATICANO,Categoria unica,"VIA PIO VIII, 5",Municipio XIII (ex Mun XVIII),BED & BREAKFAST,,,,,,2,4
5899,B&B AMMIRAGLI ROMA VATICANO,Categoria unica,"VIALE DEGLI AMMIRAGLI, 67",Municipio I (ex Mun XVII),BED & BREAKFAST,1,2,2,,,3,6
5900,B&B ANNA HOLIDAYS,Categoria unica,"VIA VINCENZO MENASI, 50",Municipio V (ex Mun VII),BED & BREAKFAST,,,,,,1,2
5901,B&B ANTICHE MURA,Categoria unica,"VIA PRINCIPE AMEDEO, 47",Municipio I (ex Mun I),BED & BREAKFAST,,,,,,3,6
5902,B&B ARCADIA ROMA,Categoria unica,"VIA CUNFIDA, 14",Municipio I (ex Mun XVII),BED & BREAKFAST,,,,,,2,4
5903,B&B ARMONIE ROMANE,Categoria unica,"VIA DI PORTA FABBRICA, 33",Municipio XIII (ex Mun XVIII),BED & BREAKFAST,,,,,,3,6
5904,B&B ART & BLUES,Categoria unica,"PIAZZALE DEI PARTIGIANI, 7",Municipio I (ex Mun I),BED & BREAKFAST,,,,,,2,4
5905,B&B ART IN VATICAN,Categoria unica,"VIA LUIGI RIZZO, 36",Municipio I (ex Mun I),BED & BREAKFAST,,,,,,3,4
5906,BB ARTIST- sospensione temporanea,Categoria unica,"VIA ATTILIO MOMIGLIANO, 10",Municipio X (ex Mun XIII),BED & BREAKFAST,,,,,,2,4
5907,B&B BAJ PERINI,Categoria unica,"VIA DELLE FORNACI, 103",Municipio XIII (ex Mun XVIII),BED & BREAKFAST,,,,,,1,2
5908,B&B BET RACHEL,Categoria unica,"VIA DI PORTA MAGGIORE, 9",Municipio I (ex Mun I),BED & BREAKFAST,,,,,,2,4
5909,B&B BETTINI,Categoria unica,"VIA DI TOR VERGATA, 1",Municipio VI (ex Mun VIII),BED & BREAKFAST,,,,,,3,6
5910,B&B BIKE,Categoria unica,"VIA MATTEO DE' PASTI, 8",Municipio VI (ex Mun VIII),BED & BREAKFAST,,,,,,2,5
5911,B&B BIRBA,Categoria unica,"VIA RODOLFO VALENTINO, 19",Municipio III (ex Mun IV),BED & BREAKFAST,,,,,,2,4
5912,B&B BON NUIT ROMA,Categoria unica,"LARGO DELL'AMBA ARADAM, 1",Municipio I (ex Mun I),BED & BREAKFAST,,,,,,3,6
5913,B&B BOUGANVILLE,Categoria unica,"VIA GIOVANNI BATTISTA CERLETTI, 23",Municipio IX (ex Mun XII),BED & BREAKFAST,,,,,,2,5
5914,B&B BY ME,Categoria unica,"VIALE DI TRASTEVERE, 269",Municipio XII (ex Mun XVI),BED & BREAKFAST,,,,,,3,6
5915,B&B CALANDRA,Categoria unica,"VIA COLA DI RIENZO, 265",Municipio I (ex Mun XVII),BED & BREAKFAST,,,,,,"",2
5916,B&B CANDIA 25 SAN PIETRO,Categoria unica,"VIA CANDIA, 25",Municipio I (ex Mun XVII),BED & BREAKFAST,,,,,,3,4
5917,B&B CARINI 58,Categoria unica,"VIA GIACINTO CARINI, 58",Municipio XII (ex Mun XVI),BED & BREAKFAST,,,,,,3,6
5918,BB CASA MAGU',Categoria unica,"VIA GALILEI, 35",Municipio I (ex Mun I),BED & BREAKFAST,,,,,,2,4
5919,B&B CASETTA ROMA,Categoria unica,"VIA AMBROGIO TRAVERSARI, 58",Municipio XII (ex Mun XVI),BED & BREAKFAST,,,,,,2,5
5920,B&B CAVECANEMROMA,Categoria unica,"PIAZZA IRNERIO, 67",Municipio XIII (ex Mun XVIII),BED & BREAKFAST,,,,,,3,6
5921,B&B CENTO PASSI DAL VATICANO,Categoria unica,"VIA SEBASTIANO VENIERO, 78",Municipio I (ex Mun XVII),BED & BREAKFAST,,,,,,2,4
5922,B&B CITY MOOD,Categoria unica,"VIA CARLO ALBERTO, 8",Municipio I (ex Mun I),BED & BREAKFAST,,,,,,3,6
5923,B&B CLELIA,Categoria unica,"VIA CLELIA, 94",Municipio VII (ex Mun IX),BED & BREAKFAST,,,,,,1,2
5924,B&B COLAZIONE DA BUBI,Categoria unica,"VIA MAGNAGRECIA, 103",Municipio VII (ex Mun IX),BED & BREAKFAST,,,,,,3,6
5925,B&B COLLI D'ORO,Categoria unica,"VIA VALBONDIONE, 109",Municipio XV (ex Mun XX),BED & BREAKFAST,,,,,,2,4
5926,B&B COLOSSEO,Categoria unica,"VIA LABICANA, 29",Municipio I (ex Mun I),BED & BREAKFAST,,,,,,2,3
5927,BB COLOSSEUM CENTER,Categoria unica,"VIA DI S. ERASMO, 8",Municipio I (ex Mun I),BED & BREAKFAST,,,,,,2,4
5928,B&B CORSO DI FRANCIA,Categoria unica,"CORSO DI FRANCIA, 189",Municipio XV (ex Mun XX),BED & BREAKFAST,,,,,,2,4
5929,BB CORSO ITALIA,Categoria unica,"CORSO D'ITALIA, 29",Municipio II (ex Mun II),BED & BREAKFAST,,,,,,2,3
5930,BB CORSO TRIESTE,Categoria unica,"CORSO TRIESTE, 128",Municipio II (ex Mun II),BED & BREAKFAST,,,,,,3,6
5931,B&B COURTESY,Categoria unica,"VIA NATALE DEL GRANDE, 12",Municipio I (ex Mun I),BED & BREAKFAST,,,,,,2,4
5932,B&B DA ANGELA AL VATICANO,Categoria unica,"VIA CRESCENZIO, 107",Municipio I (ex Mun XVII),BED & BREAKFAST,,,,,,1,2
5933,B&B DA ELISABETH,Categoria unica,"VIA PAOLA FALCONIERI, 49",Municipio XII (ex Mun XVI),BED & BREAKFAST,,,,,,1,2
5934,B&B DA PONTICELLO,Categoria unica,"VIA GIUSEPPE SACCONI, 19",Municipio II (ex Mun II),BED & BREAKFAST,,,,,,2,4
5935,B&B DANILO,Categoria unica,"VIALE DI TRASTEVERE, 60",Municipio I (ex Mun I),BED & BREAKFAST,,,,,,3,6
5936,B&B DAVILA 25,Categoria unica,"VIA ARRIGO DAVILA, 25",Municipio VII (ex Mun IX),BED & BREAKFAST,,,,,,2,4
5937,B&B DEGLI AMICI,Categoria unica,"VIA NIOBE, 16",Municipio VII (ex Mun X),BED & BREAKFAST,,,,,,3,6
5938,B&B DEI CARRACCI,Categoria unica,"VIA GIUSEPPE SACCONI, 19",Municipio II (ex Mun II),BED & BREAKFAST,,,,,,1,2
5939,B/B DEMODE',Categoria unica,"VIA MARCANTONIO BRAGADIN, 95",Municipio I (ex Mun XVII),BED & BREAKFAST,,,,,,2,6
5940,B&B DI LEO,Categoria unica,"VIA GIUSEPPE SPADA, 12",Municipio VII (ex Mun IX),BED & BREAKFAST,,,,,,3,6
5941,B&B DI PIAZZA VITTORIO,Categoria unica,"VIA MACHIAVELLI, 60",Municipio I (ex Mun I),BED & BREAKFAST,,,,,,3,6
5942,B&B DOMUS VIRIDI,Categoria unica,"VIA AURELIA, 866",Municipio XIII (ex Mun XVIII),BED & BREAKFAST,,,,,,3,6
5943,BB DORALICE,Categoria unica,"VIA GERMANICO, 109",Municipio I (ex Mun I),BED & BREAKFAST,,,,,,3,5
5944,B&B ELEN ROME,Categoria unica,"VIA MERULANA, 117",Municipio I (ex Mun I),BED & BREAKFAST,,,,,,3,6
5945,B&B ESMERALDA,Categoria unica,"VIA IBICO, 43",Municipio X (ex Mun XIII),BED & BREAKFAST,,,,,,3,6
5946,B&B ESPRESSO,Categoria unica,"VIA CIVITAVECCHIA, 3",Municipio II (ex Mun II),BED & BREAKFAST,,,,,,3,6
5947,B&B EVA,Categoria unica,"VIA ERATOSTENE, 43",Municipio V (ex Mun VI),BED & BREAKFAST,,,,,,2,4
5948,B&B FANI,Categoria unica,"VIA POZZUOLI, 7",Municipio VII (ex Mun IX),BED & BREAKFAST,,,,,,3,6
5949,B&B FEDERICAHOME ROME,Categoria unica,"VIA BUONARROTI, 29/A",Municipio I (ex Mun I),BED & BREAKFAST,,,,,,3,5
5950,B&B FRANCESCA,Categoria unica,"VIA ALESSANDRO CASTELLI, 14",Municipio V (ex Mun VII),BED & BREAKFAST,,,,,,2,6
5951,B&B GEMELLI ROOMS,Categoria unica,"VIA DELLA PINETA SACCHETTI, 482",Municipio XIV (ex Mun XIX),BED & BREAKFAST,,,,,,2,6
5952,B&B GREGORIO VII 466,Categoria unica,"VIA GREGORIO VII, 466",Municipio XIII (ex Mun XVIII),BED & BREAKFAST,,,,,,2,4
5953,B&B HAIFU ROMA TERMINI,Categoria unica,"VIA NAPOLEONE III, 99",Municipio I (ex Mun I),BED & BREAKFAST,,,,,,2,4
5954,B&B HOLIDAY ROME,Categoria unica,"VIA PALESTRO, 49",Municipio I (ex Mun I),BED & BREAKFAST,,,,,,3,5
5955,B&B IL SALLUSTIANO,Categoria unica,"VIA AUGUSTO VALENZIANI, 5",Municipio I (ex Mun I),BED & BREAKFAST,,,,,,2,4
5956,B&B IL SALOTTO LETTERARIO,Categoria unica,"VIA SABAZIO, 34",Municipio II (ex Mun II),BED & BREAKFAST,,,,,,2,5
5957,B&B IL TERRAZZINO,Categoria unica,"VIA CESARE PASCARELLA, 12",Municipio IX (ex Mun XII),BED & BREAKFAST,,,,,,2,4
5958,B&B IN PIAZZA,Categoria unica,"VICOLO DEL GALLO, 7",Municipio I (ex Mun I),BED & BREAKFAST,,,,,,1,2
5959,B&B INN TRASTEVERE,Categoria unica,"VIALE DI TRASTEVERE, 249",Municipio XII (ex Mun XVI),BED & BREAKFAST,,,,,,3,6
5960,B&B JIN DI,Categoria unica,"VIA ALFREDO CAPPELLINI, 29",Municipio I (ex Mun I),BED & BREAKFAST,,,,,,2,4
5961,B&B LA CHIMERA,Categoria unica,"VIA ANTONIO PACINOTTI, 13",Municipio XI (ex Mun XV),BED & BREAKFAST,,,,,,3,6
5962,B&B LA COORTE,Categoria unica,"VIA GABI, 17",Municipio VII (ex Mun IX),BED & BREAKFAST,,,,,,3,6
5963,B&B LA FONTANA,Categoria unica,"VIA LUCIANO MANARA, 39",Municipio I (ex Mun I),BED & BREAKFAST,,,,,,1,2
5964,B&B LA ROMA DI CAMILLA - sospensione temporanea,Categoria unica,"VIALE DEGLI AMMIRAGLI, 67",Municipio I (ex Mun XVII),BED & BREAKFAST,,,,,,3,6
5965,B&B LA TORRE,Categoria unica,"VIA GIOVANNI LANZA, 99",Municipio I (ex Mun I),BED & BREAKFAST,,,,,,3,4
5966,B&B LAOCOONTE,Categoria unica,"VIA FRANCESCO CARACCIOLO, 10",Municipio I (ex Mun XVII),BED & BREAKFAST,,,,,,3,4
5967,B&B LE BARUFFE,Categoria unica,"VIA DELLA MANDRIOLA, 10",Municipio IX (ex Mun XII),BED & BREAKFAST,,,,,,3,5
5968,B&B LEMON TREE,Categoria unica,"VIA DELLA PISANA, 56",Municipio XII (ex Mun XVI),BED & BREAKFAST,,,,,,1,2
